entry_ts,exit_ts,side,entry_price,exit_price,stop_price,target_price,pnl,reason,session
2025-09-16 09:50:00,2025-09-16 15:50:00,-1,24294.5,24322.0,24321.75,24212.75,-56.0,stop,2025-09-16
2025-09-19 09:55:00,2025-09-19 09:58:00,1,24808.0,24786.5,24786.75,24871.75,-44.0,stop,2025-09-19
2025-09-24 10:32:00,2025-09-24 11:56:00,-1,24806.75,24703.25,24841.25,24703.25,206.0,target,2025-09-24
2025-10-06 09:57:00,2025-10-06 10:00:00,-1,25139.75,25174.75,25174.5,25035.5,-71.0,stop,2025-10-06
2025-10-07 09:38:00,2025-10-07 09:42:00,1,25250.25,25237.25,25237.5,25288.5,-27.0,stop,2025-10-07
2025-10-09 09:45:00,2025-10-09 09:48:00,-1,25262.25,25282.5,25282.25,25202.25,-41.5,stop,2025-10-09
2025-10-15 09:47:00,2025-10-15 09:54:00,-1,24926.0,24986.5,24986.25,24745.25,-122.0,stop,2025-10-15
2025-10-20 09:58:00,2025-10-20 13:19:00,1,25222.25,25346.0,25181.0,25346.0,246.5,target,2025-10-20
2025-10-21 09:47:00,2025-10-21 09:50:00,-1,25238.5,25265.75,25265.5,25157.5,-55.5,stop,2025-10-21
2025-10-24 09:55:00,2025-10-24 10:54:00,1,25495.75,25463.5,25463.75,25591.75,-65.5,stop,2025-10-24
2025-10-27 09:41:00,2025-10-27 09:48:00,-1,25813.5,25847.5,25847.25,25712.25,-69.0,stop,2025-10-27
2025-10-28 09:57:00,2025-10-28 12:27:00,-1,26055.25,26090.5,26090.25,25950.25,-71.5,stop,2025-10-28
2025-10-29 10:13:00,2025-10-29 10:49:00,1,26295.5,26261.25,26261.5,26397.5,-69.5,stop,2025-10-29
2025-10-30 10:23:00,2025-10-30 15:55:00,-1,26022.0,25899.75,26179.75,25548.75,243.5,session_flatten,2025-10-30
2025-11-10 09:57:00,2025-11-10 10:50:00,1,25642.25,25588.0,25588.25,25804.25,-109.5,stop,2025-11-10
2025-11-11 10:06:00,2025-11-11 13:01:00,-1,25547.25,25636.0,25635.75,25281.75,-178.5,stop,2025-11-11
2025-11-19 09:39:00,2025-11-19 09:59:00,1,24678.0,24896.25,24605.25,24896.25,435.5,target,2025-11-19
2025-11-24 10:12:00,2025-11-24 15:55:00,1,24705.5,24977.75,24579.0,25085.0,543.5,session_flatten,2025-11-24
2025-11-27 10:31:00,2025-11-27 12:59:00,-1,25294.5,25300.0,25308.0,25254.0,-12.0,session_flatten,2025-11-27
2025-12-03 10:33:00,2025-12-03 15:55:00,1,25563.5,25654.75,25497.75,25760.75,181.5,session_flatten,2025-12-03
2025-12-11 10:40:00,2025-12-11 12:25:00,-1,25541.75,25629.75,25629.5,25278.5,-177.0,stop,2025-12-11
2025-12-22 10:31:00,2025-12-22 11:16:00,-1,25677.5,25715.75,25715.5,25563.5,-77.5,stop,2025-12-22
2025-12-23 10:11:00,2025-12-23 10:16:00,-1,25635.25,25671.75,25671.5,25526.5,-74.0,stop,2025-12-23
2026-01-12 10:47:00,2026-01-12 12:11:00,1,25891.25,25975.25,25863.25,25975.25,167.0,target,2026-01-12
2026-01-14 09:50:00,2026-01-14 10:14:00,-1,25635.5,25674.75,25674.5,25518.5,-79.5,stop,2026-01-14
2026-01-20 10:25:00,2026-01-20 13:23:00,1,25356.0,25253.5,25253.75,25662.75,-206.0,stop,2026-01-20
2026-01-30 10:46:00,2026-01-30 11:21:00,1,25922.75,25769.75,25770.0,26381.0,-307.0,stop,2026-01-30
2026-02-04 10:22:00,2026-02-04 10:23:00,-1,25199.25,25261.25,25261.0,25014.0,-125.0,stop,2026-02-04
2026-02-09 10:01:00,2026-02-09 10:56:00,1,25148.25,25317.0,25092.0,25317.0,336.5,target,2026-02-09
2026-02-16 10:21:00,2026-02-16 12:59:00,-1,24732.5,24746.25,24797.75,24536.75,-28.5,session_flatten,2026-02-16
2026-02-19 09:45:00,2026-02-19 09:52:00,-1,24778.5,24859.0,24858.75,24537.75,-162.0,stop,2026-02-19
2026-02-20 09:40:00,2026-02-20 10:01:00,1,24872.0,25016.75,24823.75,25016.75,288.5,target,2026-02-20
2026-02-26 09:51:00,2026-02-26 10:12:00,-1,25214.25,25094.25,25254.25,25094.25,239.0,target,2026-02-26
2026-03-02 10:23:00,2026-03-02 10:29:00,1,24918.5,24861.25,24861.5,25089.5,-115.5,stop,2026-03-02
2026-03-09 10:05:00,2026-03-09 10:36:00,-1,24381.0,24476.5,24476.25,24095.25,-192.0,stop,2026-03-09
2026-03-12 09:51:00,2026-03-12 10:32:00,-1,24727.5,24608.25,24767.25,24608.25,237.5,target,2026-03-12
2026-03-17 09:54:00,2026-03-17 09:57:00,1,24884.5,24861.0,24861.25,24954.25,-48.0,stop,2026-03-17
2026-03-19 09:49:00,2026-03-19 13:09:00,1,24458.75,24391.5,24391.75,24659.75,-135.5,stop,2026-03-19
2026-03-23 09:52:00,2026-03-23 09:55:00,1,24594.75,24544.5,24544.75,24744.75,-101.5,stop,2026-03-23
2026-03-24 10:22:00,2026-03-24 10:51:00,-1,24186.75,24282.25,24282.0,23901.0,-192.0,stop,2026-03-24
2026-03-26 09:47:00,2026-03-26 09:59:00,1,24186.75,24142.75,24143.0,24318.0,-89.0,stop,2026-03-26
2026-03-27 10:18:00,2026-03-27 15:55:00,-1,23538.0,23334.5,23647.0,23211.0,406.0,session_flatten,2026-03-27
2026-04-06 10:04:00,2026-04-06 15:55:00,-1,24292.0,24341.25,24453.25,23808.25,-99.5,session_flatten,2026-04-06
2026-04-10 10:42:00,2026-04-10 11:15:00,-1,25311.75,25377.5,25377.25,25115.25,-132.5,stop,2026-04-10
2026-04-13 09:44:00,2026-04-13 09:48:00,-1,25181.5,25215.25,25215.0,25081.0,-68.5,stop,2026-04-13
2026-04-14 10:06:00,2026-04-14 11:25:00,1,25742.0,25837.25,25710.25,25837.25,189.5,target,2026-04-14
2026-04-16 10:16:00,2026-04-16 10:45:00,-1,26347.0,26398.25,26398.0,26194.0,-103.5,stop,2026-04-16
2026-04-17 10:21:00,2026-04-17 15:55:00,1,26751.0,26819.75,26698.75,26907.75,136.5,session_flatten,2026-04-17
2026-04-20 10:17:00,2026-04-20 15:55:00,-1,26728.0,26725.25,26804.5,26498.5,4.5,session_flatten,2026-04-20
2026-04-22 10:07:00,2026-04-22 15:20:00,1,26902.75,27055.0,26852.0,27055.0,303.5,target,2026-04-22
2026-04-28 09:57:00,2026-04-28 10:34:00,1,27184.75,27139.75,27140.0,27319.0,-91.0,stop,2026-04-28
2026-04-29 10:22:00,2026-04-29 12:31:00,1,27227.75,27177.5,27177.75,27377.75,-101.5,stop,2026-04-29
2026-04-30 09:37:00,2026-04-30 10:59:00,-1,27318.0,27373.0,27372.75,27153.75,-111.0,stop,2026-04-30
2026-05-01 10:38:00,2026-05-01 11:47:00,1,27791.5,27912.25,27751.25,27912.25,240.5,target,2026-05-01
2026-05-04 10:11:00,2026-05-04 11:18:00,1,27891.25,27829.0,27829.25,28077.25,-125.5,stop,2026-05-04
2026-05-06 09:43:00,2026-05-06 09:50:00,1,28473.5,28430.75,28431.0,28601.0,-86.5,stop,2026-05-06
2026-05-12 09:42:00,2026-05-12 09:47:00,1,29263.25,29213.25,29213.5,29412.5,-101.0,stop,2026-05-12
2026-05-15 09:45:00,2026-05-15 09:54:00,-1,29133.25,29245.0,29244.75,28798.75,-224.5,stop,2026-05-15
2026-05-18 10:11:00,2026-05-18 10:15:00,-1,29240.5,29273.0,29272.75,29143.75,-66.0,stop,2026-05-18
2026-05-28 09:43:00,2026-05-28 09:52:00,-1,29961.75,29994.5,29994.25,29864.25,-66.5,stop,2026-05-28
2026-05-29 09:51:00,2026-05-29 10:10:00,1,30490.5,30470.5,30470.75,30549.75,-41.0,stop,2026-05-29
2026-06-02 10:04:00,2026-06-02 15:55:00,1,30605.25,30706.0,30526.5,30841.5,200.5,session_flatten,2026-06-02
2026-06-10 09:42:00,2026-06-10 11:00:00,1,28964.0,28849.5,28849.75,29306.75,-230.0,stop,2026-06-10
2026-06-12 10:25:00,2026-06-12 10:41:00,1,29537.0,29485.75,29486.0,29690.0,-103.5,stop,2026-06-12
2026-06-17 10:47:00,2026-06-17 15:55:00,-1,30338.25,30028.5,30545.0,29718.0,618.5,session_flatten,2026-06-17
2026-06-23 09:47:00,2026-06-23 11:25:00,1,29823.5,29719.25,29719.5,30135.5,-209.5,stop,2026-06-23
2026-06-24 09:47:00,2026-06-24 09:50:00,-1,29651.25,29715.5,29715.25,29459.25,-129.5,stop,2026-06-24
